no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
81;AP081;Martabak india;65,8;153;4,5;4,2;24,3;-;1,2;14;108;2,4;240;112;0,4;0,5;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
82;AP082;Martabak mesir;40,2;278;5,1;8,6;45;-;1,1;49;168;3,4;193;123;0,2;0,9;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
83;AP083;Masekat;15,6;369;2,1;7;74,1;4;0,8;17;52;0,8;141;12;0,4;0,3;155;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
84;AP084;Mie aceh rebus;74,6;113;3;3,2;18,1;-;1,1;22;44;1,4;191;36;0,2;0,3;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
85;AP085;Mie ayam;78,6;102;6,2;3,9;10,5;-;0,8;262;51;1,8;279;-;-;-;39;-;166;0,85;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
86;AP086;Mie bakso;74,5;114;5,3;3;16,4;0,1;0,8;286;53;1,9;760;-;-;-;17;-;180;0,16;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
87;AP087;Mie celon;75,9;102;3;2,1;17,8;-;1,2;12;84;1,4;451;112;0,1;0,5;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
88;AP088;Mie pangsit basah;79,2;105;5,9;4,9;9,4;-;0,7;208;48;2;530;-;-;-;25;-;620;0,46;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
89;AP089;Nasi gemuk;61,4;192;3,8;8,8;24,4;0,7;1,6;15;74;1;355;63;0,2;1,4;-;-;-;0,19;0,05;2;-;100;Olahan;Serealia;KZGMI-2001;100
90;AP090;Nasi gurih;60,5;190;4,7;7,5;26;0,7;1,3;12;62;0,8;296;52;0,2;1,2;-;-;-;0,11;0,06;2,1;-;100;Olahan;Serealia;KZGMI-2001;100
91;AP091;Nasi minyak;53,3;207;3,5;5;37,1;0,8;1,1;26;100;1,5;74;174;0,2;2,2;-;-;-;0,14;0,07;2,6;-;100;Olahan;Serealia;KZGMI-2001;100
92;AP092;Nasi rames;65,8;155;10,3;4,2;19,1;-;0,6;239;62;1,8;265;-;-;-;96;-;3.140;0,59;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
93;AP093;Nopia spesial;11,5;387;5,3;7,6;74,3;0,3;1,3;903;133;4,2;-;-;-;-;-;-;512;0,17;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
94;AP094;Onde-onde;27,7;336;4;9,8;57,9;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
95;AP095;Padamaran;67,6;171;3,9;8,9;18,8;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
96;AP096;Pastel;38,3;307;4,5;13,3;42,4;-;1,5;296;53;2,5;-;-;-;-;-;-;5.360;0,15;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
97;AP097;Pulut;49,1;216;2,6;3,1;44,4;-;0,8;6;70;3,8;100;22;0,4;1,3;-;-;-;0,14;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
98;AP098;Pundut nasi;77,8;104;1,9;4,1;15,1;0,4;1,1;26;100;1,5;74;174;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
99;AP100;Putri selat;66,6;163;2,2;6,5;23,8;-;0,9;72;3;4;6;68;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
100;AP101;Putu sopa;50,7;215;3,3;4,1;41,1;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
101;AP102;Renggi goreng;8,8;471;4,7;21,8;64,1;6,4;0,6;4;80;1,1;126;29;0,9;1,3;-;-;-;0,53;0,05;8,2;-;100;Olahan;Serealia;KZGMI-2001;100
102;AP103;Roti boong;34;341;5,5;16,2;43,3;-;1;15;65;1,1;161;41;-;0,9;-;-;-;0,4;0,3;2,4;-;100;Olahan;Serealia;KZGMI-2001;100
103;AP104;Roti warna sawo matang;40;249;7,9;1,5;49,7;-;0,9;20;140;2,5;500;91;-;-;-;-;-;0,15;-;-;-;100;Olahan;Serealia;DABM-1964;100
104;AP105;Sarimuka;61,5;166;2,3;2,8;32,9;-;0,5;36;13;2;3;34;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
105;AP106;Spaghetti;66,1;139;7,4;2,1;22,6;-;2,1;109;53;4,7;-;-;-;-;42;-;940;0,35;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
106;AP107;Srikaya ketan;41;265;2,7;6,4;49,1;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
107;AP108;Sunduk lawang;63,4;181;1,9;1,3;32,4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
108;AP109;Suwir-suwir;13,4;347;0,5;0,9;84,2;0,8;1;42;40;4,3;-;-;-;-;1;-;240;0,13;-;0,9;-;100;Olahan;Serealia;KZGPI-1990;100
109;AP110;Tipa-tipa;11,3;355;6,2;1,2;79,8;1,3;1,5;17;328;1,6;-;-;-;-;-;-;-;0,26;0,04;1,5;-;100;Olahan;Serealia;KZGPI-1990;100
110;AP111;Wajit camilan;27,1;303;6,3;2,7;63,3;6,9;0,6;61;302;5,5;-;-;-;-;-;-;-;0,03;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
111;AP112;Widaran;7;424;1,3;10,7;80,7;0,2;0,3;49;88;2,5;-;-;-;-;21;-;440;0,13;0,2;2,2;-;100;Olahan;Serealia;KZGPI-1990;100
